Episode ,xVel,yVel,yawRate,pitchRate,zVel,rollRate,work,groundContact,tailStatus,baseReward,crash,simpleTrainingPenalties,yPos,orientation
Weights: ,1,0,0,0,0,0,0,0,0,0,0,0,0,1

Config:
keepBalance, "True"
RandomXVelocity, "True"
RandomYVelocity, "False"
RandomAngularVelocity, "False"
RandomStart, "True"
LongEpisodes, "False"
Swimming, "True"
Transition, "False"
Landing, "False"
2D, "False"
LegPhases, "False"
LegAmplitudes, "False"
LegRotations, "False"
SpinePhases, "True"
SpineAmplitudes, "True"
SpinePitch, "True"
Buoyancy, "True"
Tail, "True"
Analysis, "False"

Values:
2,12.99947,0,0,0,0,0,0,0,0,0,0,0,0,23.82997
2,12.29653,0,0,0,0,0,0,0,0,0,0,0,0,24.18101
2,13.71829,0,0,0,0,0,0,0,0,0,0,0,0,29.50646
2,10.25411,0,0,0,0,0,0,0,0,0,0,0,0,21.00218
2,9.187949,0,0,0,0,0,0,0,0,0,0,0,0,25.56246
2,12.22047,0,0,0,0,0,0,0,0,0,0,0,0,26.58601
2,9.14521,0,0,0,0,0,0,0,0,0,0,0,0,20.24815
2,9.812108,0,0,0,0,0,0,0,0,0,0,0,0,23.35055
2,12.60804,0,0,0,0,0,0,0,0,0,0,0,0,25.78819
2,11.00518,0,0,0,0,0,0,0,0,0,0,0,0,21.8245
2,9.395634,0,0,0,0,0,0,0,0,0,0,0,0,22.30982
2,12.9134,0,0,0,0,0,0,0,0,0,0,0,0,22.97161
2,13.77873,0,0,0,0,0,0,0,0,0,0,0,0,24.92669
2,10.94684,0,0,0,0,0,0,0,0,0,0,0,0,18.46984
2,11.88937,0,0,0,0,0,0,0,0,0,0,0,0,18.10758
2,10.47748,0,0,0,0,0,0,0,0,0,0,0,0,20.68421
2,10.42224,0,0,0,0,0,0,0,0,0,0,0,0,24.39551
2,10.68853,0,0,0,0,0,0,0,0,0,0,0,0,23.35229
2,11.32248,0,0,0,0,0,0,0,0,0,0,0,0,19.3251
2,8.276827,0,0,0,0,0,0,0,0,0,0,0,0,24.54168
2,11.76221,0,0,0,0,0,0,0,0,0,0,0,0,21.17286
2,13.21554,0,0,0,0,0,0,0,0,0,0,0,0,19.36928
2,14.81655,0,0,0,0,0,0,0,0,0,0,0,0,25.52311
2,14.80409,0,0,0,0,0,0,0,0,0,0,0,0,23.98152
2,13.3094,0,0,0,0,0,0,0,0,0,0,0,0,25.99301
2,13.98836,0,0,0,0,0,0,0,0,0,0,0,0,18.60248
2,9.463281,0,0,0,0,0,0,0,0,0,0,0,0,21.92653
2,14.74119,0,0,0,0,0,0,0,0,0,0,0,0,26.00553
2,9.670056,0,0,0,0,0,0,0,0,0,0,0,0,21.81614
2,12.66053,0,0,0,0,0,0,0,0,0,0,0,0,23.13211
2,9.979102,0,0,0,0,0,0,0,0,0,0,0,0,21.53698
2,14.59294,0,0,0,0,0,0,0,0,0,0,0,0,28.39893
2,14.02137,0,0,0,0,0,0,0,0,0,0,0,0,23.1101
2,8.565305,0,0,0,0,0,0,0,0,0,0,0,0,18.93798
2,9.865541,0,0,0,0,0,0,0,0,0,0,0,0,20.18504
2,9.986362,0,0,0,0,0,0,0,0,0,0,0,0,24.02027
2,13.37749,0,0,0,0,0,0,0,0,0,0,0,0,22.1015
2,11.53581,0,0,0,0,0,0,0,0,0,0,0,0,24.83375
2,10.91848,0,0,0,0,0,0,0,0,0,0,0,0,25.11794
2,14.08124,0,0,0,0,0,0,0,0,0,0,0,0,21.01576
2,21.12265,0,0,0,0,0,0,0,0,0,0,0,0,29.42806
2,14.85922,0,0,0,0,0,0,0,0,0,0,0,0,28.58069
2,11.89301,0,0,0,0,0,0,0,0,0,0,0,0,15.61732
2,18.81705,0,0,0,0,0,0,0,0,0,0,0,0,22.53742
2,10.48636,0,0,0,0,0,0,0,0,0,0,0,0,23.89224
2,15.71899,0,0,0,0,0,0,0,0,0,0,0,0,22.92837
2,15.24346,0,0,0,0,0,0,0,0,0,0,0,0,29.18941
2,16.5178,0,0,0,0,0,0,0,0,0,0,0,0,24.4847
2,12.54328,0,0,0,0,0,0,0,0,0,0,0,0,21.02924
2,15.58204,0,0,0,0,0,0,0,0,0,0,0,0,20.02363
2,6.128884,0,0,0,0,0,0,0,0,0,0,0,0,22.84741
2,15.44019,0,0,0,0,0,0,0,0,0,0,0,0,30.41858
2,10.04863,0,0,0,0,0,0,0,0,0,0,0,0,21.667
2,15.37228,0,0,0,0,0,0,0,0,0,0,0,0,29.54568
2,17.06852,0,0,0,0,0,0,0,0,0,0,0,0,29.16834
2,14.98599,0,0,0,0,0,0,0,0,0,0,0,0,26.90207
2,10.22851,0,0,0,0,0,0,0,0,0,0,0,0,27.32158
2,18.11665,0,0,0,0,0,0,0,0,0,0,0,0,29.91516
2,12.27415,0,0,0,0,0,0,0,0,0,0,0,0,22.56545
2,16.37641,0,0,0,0,0,0,0,0,0,0,0,0,29.29616
2,18.0943,0,0,0,0,0,0,0,0,0,0,0,0,27.70184
2,13.58906,0,0,0,0,0,0,0,0,0,0,0,0,25.02711
2,12.20942,0,0,0,0,0,0,0,0,0,0,0,0,26.00783
2,10.17389,0,0,0,0,0,0,0,0,0,0,0,0,20.86413
2,14.75716,0,0,0,0,0,0,0,0,0,0,0,0,24.25993
2,16.11227,0,0,0,0,0,0,0,0,0,0,0,0,29.87496
2,17.95164,0,0,0,0,0,0,0,0,0,0,0,0,27.83274
2,17.52966,0,0,0,0,0,0,0,0,0,0,0,0,27.70625
2,11.62721,0,0,0,0,0,0,0,0,0,0,0,0,21.52035
